date,gdp,unemp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,rr_1,ad
1986.25,10.43631926,7.166666667,1.73,0.003773215,9.156185091,9.816422538,17.66244009,4.697421146,4.069266042,4.145116888,0.28262134,0.030454046
1986.5,10.443367,6.966666667,1.551666667,0.004100061,9.163232831,9.819745879,17.66178173,4.70416448,4.07354644,4.146620707,-0.40039002,-0.126960766
1986.75,10.44633496,6.833333333,1.566666667,0.005422881,9.158980549,9.828295254,17.66647614,4.715691362,4.071468216,4.142737822,-0.06065667,0.041799582
1987,10.45181125,6.6,1.555,0.00633409,9.153527769,9.841165294,17.67604655,4.7189452,4.066853454,4.125358616,0.36685299,0.034284787
1987.25,10.46044266,6.266666667,1.6625,0.006910902,9.162159177,9.851636629,17.68005397,4.713970778,4.073529423,4.142658423,0.23837619,0.044313763
1987.5,10.46661147,6,1.710833333,0.007528002,9.168327982,9.857805433,17.68301749,4.716165795,4.073665551,4.147885329,-0.20870671,-0.067785082
1987.75,10.48116776,5.833333333,1.729166667,0.007940143,9.204624266,9.863128055,17.69020112,4.714992732,4.083452121,4.150291594,-0.26547176,-0.038399719
1988,10.48433352,5.7,1.665833333,0.007808761,9.182380307,9.875527488,17.68438617,4.721939375,4.086984208,4.172655001,-0.20625113,-0.00136361
1988.25,10.49529391,5.466666667,1.789166667,0.009693019,9.189657447,9.884647946,17.69248269,4.722357489,4.089583245,4.177037601,0.49598352,0.07672394
1988.5,10.49852564,5.466666667,1.995833333,0.011876161,9.178019019,9.897045648,17.69189429,4.720354292,4.092175545,4.183080146,-0.24878885,-0.013876609
1988.75,10.50927784,5.333333333,2.1175,0.0086026,9.192509543,9.904141539,17.69975327,4.714006654,4.094527879,4.183194526,0.43647347,0.111361132
1989,10.51740211,5.2,2.360833333,0.010381722,9.208068794,9.91043263,17.70743261,4.711168498,4.095027662,4.178111097,0.35826997,0.049996606
1989.25,10.52274597,5.233333333,2.431666667,0.010585762,9.198486997,9.915776483,17.70940334,4.6998438,4.098104153,4.170340632,0.15339881,0.011357783
1989.5,10.52736504,5.233333333,2.270833333,0.007282238,9.195558862,9.920395553,17.7077498,4.697001595,4.102858218,4.178800594,-0.06433405,-0.035686934
1989.75,10.52661455,5.366666667,2.153333333,0.00710066,9.175687331,9.930594079,17.70524399,4.705965296,4.102973889,4.175348346,-0.04538395,-0.016530844
1990,10.53521135,5.3,2.0625,0.01072478,9.188137707,9.935554517,17.71191469,4.706290726,4.112282707,4.178647413,0.21912675,0.028351443
1990.25,10.53571632,5.333333333,2.060833333,0.011131487,9.165295306,9.941509085,17.70245525,4.708890357,4.119150989,4.180904448,0.04396574,0.002405252
1990.5,10.53286925,5.7,2.04,0.008541692,9.138542714,9.94947293,17.6924853,4.710340684,4.122283931,4.181362884,0.0840415,0.015986134
1990.75,10.52018556,6.133333333,1.935833333,0.007414595,9.084700956,9.947484533,17.68646852,4.719186135,4.111873365,4.179566144,-0.29553415,0.009516144
1991,10.51241038,6.6,1.606666667,0.009745025,9.047072809,9.93970935,17.67576976,4.712804115,4.114947523,4.185631508,-0.02418447,-0.006674918
1991.25,10.51699611,6.833333333,1.465833333,0.007319421,9.042962835,9.944295083,17.67081651,4.710439698,4.131110341,4.195395806,0.26233321,0.02894727
1991.5,10.51848398,6.866666667,1.410833333,0.007781076,9.053146416,9.942230555,17.67113331,4.707239291,4.139636551,4.192604931,0.06374891,0.033939688
1991.75,10.51853805,7.1,1.204166667,0.00591673,9.05752014,9.942284618,17.66335002,4.712373004,4.144324495,4.189806246,-0.04273797,-0.050778829
1992,10.52749899,7.366666667,1.005833333,0.003710245,9.049089344,9.958337793,17.66551677,4.716380558,4.163948358,4.228000947,-0.13034497,0.03729939
1992.25,10.53494548,7.6,0.9425,0.005994352,9.082511319,9.964015934,17.66697912,4.713109374,4.172416098,4.222994267,0.14817133,-0.000375381
1992.5,10.5410956,7.633333333,0.814166667,0.004876535,9.088661432,9.971934395,17.66518744,4.710700687,4.181347606,4.225080384,-0.09037669,-0.041621907
1992.75,10.54802205,7.366666667,0.759166667,0.006858149,9.104098579,9.980626078,17.66575698,4.702505586,4.187318682,4.222371248,-0.44124412,-0.016904583
1993,10.5467352,7.133333333,0.76,0.005596413,9.115443477,9.981101344,17.66820404,4.696791753,4.178670392,4.195659405,0.03154362,-0.021281405
1993.25,10.54949071,7.066666667,0.75,0.005929362,9.126532368,9.985615868,17.67455143,4.704445223,4.17287844,4.188138442,0.33470071,0.042776616
1993.5,10.55085254,6.8,0.765,0.005923362,9.123736185,9.990486471,17.67439918,4.697567035,4.177152673,4.17373321,0.21247298,-0.00547804
